rowindex,Session,Subject,SubjectID,Timing,eventType,eventIndex,eventClicked,task,columnIndex,round,stateIndex,clueSeen,question,answer,error,tasktype,maxtask,mintask,tasktypeindex,taskchosen,cluesviewed,miliseconds,seconds,cluemath,cluews,clueboth,clueindex,maxtaskchosen,correct,wrong
157,2,6,135264567,826,task,1,Task 4,4,1,75,1,50 percent of previous players chose this task,,,,T,4,4,,1,1,6317,6.316999912,0,0,1,11,1,,
158,2,6,135264567,5491,trial,0,72+72+72,,1,75,1,216,72+72+72,216,,7,4,4,1,1,1,6317,6.316999912,0,0,0,,1,1,0
159,2,6,135264567,638,task,1,Task 3,3,1,76,1,The weather in San Diego is nice,,,,T,3,3,,1,1,8703,8.703000069,1,0,0,19,1,,
160,2,6,135264567,8065,trial,0,87+81+47,,1,76,1,215,87+81+47,215,,8,3,3,1,1,1,8703,8.703000069,0,0,0,,1,1,0
161,2,6,135264567,509,task,1,Task 4,4,1,77,1,Might need paper & pencil to solve,,,,T,4,4,,1,1,9476,9.475999832,1,0,0,17,1,,
162,2,6,135264567,8967,trial,0,65+59+90,,1,77,1,214,65+59+90,214,,6,4,4,1,1,1,9476,9.475999832,0,0,0,,1,1,0
163,2,6,135264567,1395,task,1,Task 2,2,1,78,2,San Diego has great weather,,,,T,3,2,,0,2,7445,7.445000172,0,1,0,9,0,,
164,2,6,135264567,502,task,1,Task 3,3,2,78,2,50 percent of previous players chose this task,,,,T,3,2,,0,2,7445,7.445000172,0,0,1,11,0,,
165,2,6,135264567,5548,trial,0,ATFE,,1,78,2,FEAT,ATFE,FEAT,,A,3,2,0,0,2,7445,7.445000172,0,0,0,,0,1,0
166,2,6,135264567,2329,task,1,Task 2,2,1,79,2,50 percent of previous players chose this task,,,,T,2,2,,0,1,7058,7.058000088,0,0,1,11,0,,
167,2,6,135264567,4729,trial,0,ARFE,,1,79,2,FEAR,ARFE,FEAR,,A,2,2,0,0,1,7058,7.058000088,0,0,0,,0,1,0
168,2,6,135264567,488,task,1,Task 3,3,2,80,2,No words,,,,T,3,2,,0,2,11053,11.05300045,1,0,0,16,0,,
169,2,6,135264567,5174,task,1,Task 2,2,1,80,2,multiple choice,,,,T,3,2,,0,2,11053,11.05300045,0,1,0,5,0,,
170,2,6,135264567,5391,trial,0,WNFA,,1,80,2,FAWN,WNFA,FAWN,,W,3,2,0,0,2,11053,11.05300045,0,0,0,,0,1,0
